,Year,agency_cd,site_no,datetime,Day,Month,Q_CFS,STAT
12,2008,USGS,DL,6/5/2008,5,6,957,A
13,2009,USGS,DL,6/1/2009,1,6,1140,A
14,2010,USGS,DL,6/17/2010,17,6,1470,A
15,2011,USGS,DL,6/14/2011,14,6,1960,A
16,2012,USGS,DL,6/6/2012,6,6,781,A
17,2013,USGS,DL,5/30/2013,30,5,349,A
18,2014,USGS,DL,6/28/2014,28,6,741,A
19,2015,USGS,DL,6/3/2015,3,6,628,A
20,2016,USGS,DL,5/22/2016,22,5,507,A
21,2017,USGS,DL,6/14/2017,14,6,1560,A
22,2018,USGS,DL,6/22/2018,22,6,2180,A
23,2019,USGS,DL,5/18/2019,18,5,1280,A
24,2020,USGS,DL,6/19/2020,19,6,1590,A
25,2021,USGS,DL,6/6/2021,6,6,590,A
26,2022,USGS,DL,6/12/2022,12,6,856,A:e
